Benton, Oregon,528850.0,21
Burnet, Texas,431546.0,46
Stark, North Dakota,305805.0,4
Mahaska, Iowa,151146.0,15
Deer Lodge, Montana,221216.0,50
Woodbury, Iowa,166555.0,27
Bowie, Texas,176158.0,121
Clinton, Ohio,202898.0,4
Richland, Montana,392715.0,8
Sherburne, Minnesota,359374.0,27
Upson, Georgia,136482.0,23
Essex, Vermont,170178.0,0
Ramsey, Minnesota,325436.0,79
Laurens, Georgia,165471.0,73
Morton, North Dakota,291826.0,12
Benton, Missouri,165297.0,44
Dickinson, Kansas,151488.0,16
Alleghany, Virginia,147052.0,9
Dakota, Minnesota,386775.0,27
Glynn, Georgia,329677.0,0
Fulton, Ohio,209034.0,24
Crawford, Ohio,123230.0,0
Howell, Missouri,179440.0,68
Perry, Tennessee,142801.0,10
Adair, Iowa,135231.0,4
Berkeley, West Virginia,279431.0,80
Branch, Michigan,177515.0,9
Hardin, Tennessee,178945.0,57
San Juan, Washington,932907.0,9
Rio Grande, Colorado,281264.0,1
Whitfield, Georgia,224908.0,138
Hancock, West Virginia,119448.0,9
Klickitat, Washington,479098.0,4
Cumberland, Virginia,230539.0,12
Anderson, Tennessee,262366.0,109
Delaware, Oklahoma,209167.0,53
Houston, Minnesota,278008.0,8
Dale, Alabama,135827.0,44
Renville, Minnesota,166193.0,6
Saratoga, New York,377625.0,95
Cumberland, New Jersey,224056.0,0
Rusk, Texas,189712.0,98
Grady, Georgia,196520.0,30
Greene, Illinois,88856.0,2
Johnson, Kansas,401517.0,46
Etowah, Alabama,143904.0,104
Powell, Montana,283304.0,6
Harrison, Texas,199766.0,61
Marshall, Iowa,144936.0,26
Letcher, Kentucky,54359.0,0
Burt, Nebraska,146322.0,7
Baca, Colorado,133063.0,3
San Bernardino, California,521137.0,862
Brazos, Texas,295618.0,38
Cheshire, New Hampshire,322755.0,0
Clayton, Iowa,161317.0,9
Aitkin, Minnesota,254834.0,13
Wayne, Missouri,137068.0,28
Montcalm, Michigan,196078.0,40
Dallas, Alabama,74841.0,109
Palo Pinto, Texas,219169.0,7
Sumter, Georgia,117924.0,18
Nottoway, Virginia,173955.0,11
Elmore, Alabama,228967.0,60
Ross, Ohio,182214.0,104
Cheatham, Tennessee,348382.0,110
Brown, South Dakota,233386.0,4
Southampton, Virginia,212008.0,18
Edgar, Illinois,79160.0,4
Sierra, California,379898.0,5
Jefferson, Ohio,119417.0,3
Hopkins, Kentucky,124551.0,8
Okaloosa, Florida,374258.0,512
Waseca, Minnesota,238051.0,6
Mountrail, North Dakota,226282.0,5
Eureka, Nevada,220395.0,6
Audrain, Missouri,142300.0,17
Berrien, Georgia,154903.0,20
Pepin, Wisconsin,211466.0,6
Douglas, Colorado,751032.0,292
Mecklenburg, Virginia,157343.0,53
Union, South Dakota,344505.0,4
Pierce, Washington,554794.0,1255
Cameron, Texas,180071.0,181
Johnson, Wyoming,369013.0,12
Prairie, Arkansas,104989.0,4
Gentry, Missouri,129142.0,1
Henderson, Tennessee,172596.0,76
Charlevoix, Michigan,292094.0,20
Todd, Minnesota,234376.0,9
Waushara, Wisconsin,206099.0,22
Leslie, Kentucky,61419.0,3
Montgomery, Arkansas,146053.0,10
Haskell, Texas,82680.0,4
Warren, New York,327282.0,48
Houghton, Michigan,163748.0,6
Wabasha, Minnesota,283409.0,9
Gaines, Texas,226817.0,6
Wilson, Kansas,89904.0,5
Johnson, Nebraska,167354.0,4
Wayne, New York,195368.0,63
Clear Creek, Colorado,602831.0,15
