table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,
"Annual Estimates of the Resident Population for Counties in the United States:
 April 1, 2020 to July 1, 2021",,,
Geographic Area,"April 1, 2020 Estimates Base",Population Estimate (as of July 1),
".Daniels County, Montana","1,661","1,658","1,686"
".Dawson County, Montana","8,940","8,922","8,904"
".Deer Lodge County, Montana","9,421","9,413","9,491"
".Fallon County, Montana","3,049","3,033","3,017"
".Fergus County, Montana","11,446","11,457","11,617"
".Flathead County, Montana","104,357","104,773","108,454"
".Gallatin County, Montana","118,960","119,502","122,713"
".Garfield County, Montana","1,173","1,172","1,209"
".Glacier County, Montana","13,778","13,747","13,785"
".Golden Valley County, Montana",823,820,831
".Granite County, Montana","3,309","3,308","3,344"
".Hill County, Montana","16,309","16,250","16,179"
".Jefferson County, Montana","12,085","12,133","12,470"
".Judith Basin County, Montana","2,023","2,017","2,044"
".Lake County, Montana","31,134","31,259","32,033"
".Lewis and Clark County, Montana","70,973","71,093","72,223"
".Liberty County, Montana","1,959","1,960","1,946"
".Lincoln County, Montana","19,677","19,731","20,525"
".McCone County, Montana","1,729","1,733","1,718"
".Madison County, Montana","8,623","8,657","8,917"
".Meagher County, Montana","1,927","1,925","1,964"
".Mineral County, Montana","4,535","4,565","4,860"
".Missoula County, Montana","117,922","118,238","119,533"
".Musselshell County, Montana","4,730","4,747","4,896"
".Park County, Montana","17,191","17,193","17,473"
".Petroleum County, Montana",496,498,519
".Phillips County, Montana","4,217","4,190","4,192"
".Pondera County, Montana","5,898","5,882","5,994"
".Powder River County, Montana","1,694","1,693","1,702"
".Powell County, Montana","6,946","6,934","6,999"
".Prairie County, Montana","1,088","1,076","1,091"
".Ravalli County, Montana","44,174","44,351","45,959"
".Richland County, Montana","11,491","11,501","11,283"
".Roosevelt County, Montana","10,794","10,780","10,821"
".Rosebud County, Montana","8,329","8,298","8,124"
".Sanders County, Montana","12,400","12,451","12,959"
".Sheridan County, Montana","3,539","3,518","3,527"
".Silver Bow County, Montana","35,133","35,168","35,411"
".Stillwater County, Montana","8,963","9,010","9,044"
".Sweet Grass County, Montana","3,678","3,671","3,723"
".Teton County, Montana","6,226","6,242","6,269"
".Toole County, Montana","4,971","4,964","5,011"
".Treasure County, Montana",762,761,768
".Valley County, Montana","7,578","7,551","7,537"
".Wheatland County, Montana","2,069","2,093","2,059"
".Wibaux County, Montana",937,928,934
".Yellowstone County, Montana","164,731","165,045","167,146"
".Adams County, Nebraska","31,205","31,147","31,027"
".Antelope County, Nebraska","6,295","6,276","6,279"
".Arthur County, Nebraska",434,431,439
".Banner County, Nebraska",674,683,692
".Blaine County, Nebraska",431,431,461
".Boone County, Nebraska","5,379","5,351","5,386"
".Box Butte County, Nebraska","10,842","10,824","10,604"
".Boyd County, Nebraska","1,810","1,806","1,789"
".Brown County, Nebraska","2,903","2,903","2,908"
".Buffalo County, Nebraska","50,084","50,129","50,339"
".Burt County, Nebraska","6,722","6,721","6,709"
".Butler County, Nebraska","8,369","8,349","8,444"
".Cass County, Nebraska","26,598","26,593","27,017"
".Cedar County, Nebraska","8,380","8,373","8,330"
".Chase County, Nebraska","3,893","3,881","3,826"
".Cherry County, Nebraska","5,455","5,462","5,458"
".Cheyenne County, Nebraska","9,468","9,482","9,529"
".Clay County, Nebraska","6,104","6,101","6,078"
".Colfax County, Nebraska","10,582","10,546","10,498"
".Cuming County, Nebraska","9,013","9,009","8,984"
".Custer County, Nebraska","10,545","10,495","10,460"
".Dakota County, Nebraska","21,582","21,502","21,241"
".Dawes County, Nebraska","8,199","8,151","8,148"
".Dawson County, Nebraska","24,111","24,039","23,898"
".Deuel County, Nebraska","1,838","1,829","1,865"
".Dixon County, Nebraska","5,606","5,580","5,545"
".Dodge County, Nebraska","37,167","37,102","37,103"
".Douglas County, Nebraska","584,526","585,010","585,008"
".Dundy County, Nebraska","1,654","1,647","1,635"
".Fillmore County, Nebraska","5,551","5,567","5,546"
".Franklin County, Nebraska","2,889","2,885","2,903"
".Frontier County, Nebraska","2,519","2,510","2,555"
".Furnas County, Nebraska","4,636","4,615","4,604"
".Gage County, Nebraska","21,704","21,663","21,616"
".Garden County, Nebraska","1,874","1,883","1,847"
".Garfield County, Nebraska","1,813","1,806","1,839"
".Gosper County, Nebraska","1,893","1,891","1,824"
".Grant County, Nebraska",611,611,579
".Greeley County, Nebraska","2,188","2,180","2,169"
".Hall County, Nebraska","62,895","62,730","61,979"
".Hamilton County, Nebraska","9,429","9,403","9,386"
".Harlan County, Nebraska","3,073","3,054","3,091"
".Hayes County, Nebraska",856,855,843
".Hitchcock County, Nebraska","2,616","2,610","2,586"
".Holt County, Nebraska","10,127","10,083","10,049"
".Hooker County, Nebraska",711,707,734
".Howard County, Nebraska","6,475","6,496","6,531"
".Jefferson County, Nebraska","7,240","7,260","7,176"
".Johnson County, Nebraska","5,290","5,288","5,316"
".Kearney County, Nebraska","6,688","6,695","6,674"
".Keith County, Nebraska","8,335","8,322","8,279"
".Keya Paha County, Nebraska",769,763,787
".Kimball County, Nebraska","3,434","3,401","3,412"
".Knox County, Nebraska","8,391","8,383","8,401"
".Lancaster County, Nebraska","322,608","322,910","324,514"
".Lincoln County, Nebraska","34,676","34,551","34,133"
".Logan County, Nebraska",716,714,687
".Loup County, Nebraska",607,606,604
".McPherson County, Nebraska",399,396,379
".Madison County, Nebraska","35,585","35,473","35,337"
".Merrick County, Nebraska","7,668","7,659","7,665"
".Morrill County, Nebraska","4,555","4,539","4,574"
".Nance County, Nebraska","3,380","3,382","3,390"
".Nemaha County, Nebraska","7,074","7,088","7,064"
".Nuckolls County, Nebraska","4,095","4,081","4,060"
".Otoe County, Nebraska","15,912","15,892","15,930"
".Pawnee County, Nebraska","2,544","2,536","2,548"
".Perkins County, Nebraska","2,858","2,851","2,832"
".Phelps County, Nebraska","8,968","8,968","8,937"
".Pierce County, Nebraska","7,317","7,328","7,313"
".Platte County, Nebraska","34,296","34,280","34,241"
".Polk County, Nebraska","5,214","5,225","5,174"
".Red Willow County, Nebraska","10,702","10,671","10,623"
".Richardson County, Nebraska","7,871","7,836","7,759"
".Rock County, Nebraska","1,262","1,267","1,264"
".Saline County, Nebraska","14,292","14,249","14,192"
".Sarpy County, Nebraska","190,604","191,114","193,418"
".Saunders County, Nebraska","22,278","22,361","22,787"
".Scotts Bluff County, Nebraska","36,084","36,002","35,745"
".Seward County, Nebraska","17,609","17,605","17,603"
".Sheridan County, Nebraska","5,127","5,097","5,095"
".Sherman County, Nebraska","2,959","2,956","2,964"
".Sioux County, Nebraska","1,135","1,144","1,143"
".Stanton County, Nebraska","5,842","5,824","5,816"
".Thayer County, Nebraska","5,034","5,013","4,913"
".Thomas County, Nebraska",669,671,673
".Thurston County, Nebraska","6,773","6,769","6,620"
".Valley County, Nebraska","4,059","4,048","4,066"
".Washington County, Nebraska","20,865","20,904","20,969"
".Wayne County, Nebraska","9,697","9,687","9,784"
".Webster County, Nebraska","3,395","3,387","3,411"
".Wheeler County, Nebraska",774,773,795
".York County, Nebraska","14,125","14,084","14,244"
".Churchill County, Nevada","25,516","25,539","25,723"
".Clark County, Nevada","2,265,461","2,273,386","2,292,476"
".Douglas County, Nevada","49,488","49,468","49,870"
".Elko County, Nevada","53,702","53,750","53,915"
".Esmeralda County, Nevada",729,730,743
".Eureka County, Nevada","1,855","1,847","1,903"
".Humboldt County, Nevada","17,285","17,283","17,648"
".Lander County, Nevada","5,734","5,725","5,798"
".Lincoln County, Nevada","4,499","4,502","4,525"
".Lyon County, Nevada","59,235","59,431","60,903"
".Mineral County, Nevada","4,554","4,553","4,586"
".Nye County, Nevada","51,591","51,968","53,450"
".Pershing County, Nevada","6,650","6,639","6,741"
".Storey County, Nevada","4,104","4,106","4,143"
".Washoe County, Nevada","486,492","487,388","493,392"
".White Pine County, Nevada","9,080","9,079","9,182"
".Carson City, Nevada","58,639","58,677","58,993"
".Belknap County, New Hampshire","63,705","63,743","64,460"
".Carroll County, New Hampshire","50,107","50,212","51,500"
".Cheshire County, New Hampshire","76,458","76,501","77,329"
".Coos County, New Hampshire","31,268","31,173","31,289"
".Grafton County, New Hampshire","91,118","91,123","92,201"
".Hillsborough County, New Hampshire","422,937","422,705","424,079"
".Merrimack County, New Hampshire","153,808","153,922","155,238"
".Rockingham County, New Hampshire","314,176","314,430","316,947"
".Strafford County, New Hampshire","130,889","131,006","132,416"
".Sullivan County, New Hampshire","43,063","43,033","43,533"
".Atlantic County, New Jersey","274,534","274,191","274,966"
".Bergen County, New Jersey","955,732","954,774","953,819"
".Burlington County, New Jersey","461,860","461,862","464,269"
".Camden County, New Jersey","523,485","523,204","523,771"
".Cape May County, New Jersey","95,263","95,077","95,661"
".Cumberland County, New Jersey","154,152","153,848","153,627"
".Essex County, New Jersey","863,728","862,032","854,917"
".Gloucester County, New Jersey","302,294","302,607","304,477"
".Hudson County, New Jersey","724,854","722,655","702,463"
".Hunterdon County, New Jersey","128,947","128,839","129,924"
".Mercer County, New Jersey","387,340","386,759","385,898"
".Middlesex County, New Jersey","863,162","861,908","860,807"
".Monmouth County, New Jersey","643,615","643,163","645,354"
".Morris County, New Jersey","509,285","509,001","510,981"
".Ocean County, New Jersey","637,229","638,824","648,998"
".Passaic County, New Jersey","524,118","523,100","518,117"
".Salem County, New Jersey","64,837","64,859","65,046"
".Somerset County, New Jersey","345,361","345,014","345,647"
".Sussex County, New Jersey","144,221","144,082","145,543"
".Union County, New Jersey","575,345","574,349","572,114"
".Warren County, New Jersey","109,632","109,595","110,731"
".Bernalillo County, New Mexico","676,444","676,581","674,393"
".Catron County, New Mexico","3,579","3,612","3,731"
".Chaves County, New Mexico","65,157","65,168","64,629"
".Cibola County, New Mexico","27,172","27,076","27,184"
".Colfax County, New Mexico","12,387","12,332","12,369"
".Curry County, New Mexico","48,430","48,325","47,999"
".De Baca County, New Mexico","1,698","1,678","1,680"
".Do�a Ana County, New Mexico","219,561","219,899","221,508"
".Eddy County, New Mexico","62,314","62,257","60,911"
".Grant County, New Mexico","28,185","28,209","27,889"
".Guadalupe County, New Mexico","4,452","4,447","4,449"
".Harding County, New Mexico",657,660,639
".Hidalgo County, New Mexico","4,178","4,149","4,074"
".Lea County, New Mexico","74,455","74,586","73,004"
".Lincoln County, New Mexico","20,269","20,296","20,436"
".Los Alamos County, New Mexico","19,419","19,424","19,330"
".Luna County, New Mexico","25,427","25,420","25,532"
".McKinley County, New Mexico","72,902","72,630","71,780"
".Mora County, New Mexico","4,189","4,184","4,196"
".Otero County, New Mexico","67,839","67,861","68,537"
".Quay County, New Mexico","8,746","8,721","8,656"
".Rio Arriba County, New Mexico","40,363","40,264","40,179"
".Roosevelt County, New Mexico","19,191","19,118","19,019"
".Sandoval County, New Mexico","148,834","149,218","151,369"
".San Juan County, New Mexico","121,661","121,429","120,993"
".San Miguel County, New Mexico","27,201","27,115","27,150"
".Santa Fe County, New Mexico","154,823","154,977","155,201"
".Sierra County, New Mexico","11,576","11,526","11,502"
".Socorro County, New Mexico","16,595","16,565","16,311"
".Taos County, New Mexico","34,489","34,392","34,623"
".Torrance County, New Mexico","15,045","15,051","15,307"
".Union County, New Mexico","4,079","4,067","4,107"
".Valencia County, New Mexico","76,205","76,329","77,190"
".Albany County, New York","314,848","314,368","313,743"
".Allegany County, New York","46,456","46,373","46,106"
".Bronx County, New York","1,472,654","1,466,438","1,424,948"
".Broome County, New York","198,683","198,199","197,240"
".Cattaraugus County, New York","77,042","76,907","76,426"
".Cayuga County, New York","76,248","76,095","75,880"
".Chautauqua County, New York","127,657","127,424","126,807"
".Chemung County, New York","84,148","83,882","83,045"
".Chenango County, New York","47,220","47,073","46,537"
".Clinton County, New York","79,843","79,715","79,596"
".Columbia County, New York","61,570","61,550","61,778"
".Cortland County, New York","46,809","46,723","46,311"
".Delaware County, New York","44,308","44,186","44,378"
".Dutchess County, New York","295,911","295,742","297,112"
".Erie County, New York","954,236","953,254","950,683"
".Essex County, New York","37,381","37,336","37,268"
".Franklin County, New York","47,555","47,527","47,456"
".Fulton County, New York","53,324","53,160","53,116"
".Genesee County, New York","58,388","58,258","57,853"
".Greene County, New York","47,931","47,890","48,499"
".Hamilton County, New York","5,107","5,078","5,119"
".Herkimer County, New York","60,139","60,007","59,937"
".Jefferson County, New York","116,721","116,134","116,295"
".Kings County, New York","2,736,074","2,727,393","2,641,052"
".Lewis County, New York","26,582","26,538","26,573"
".Livingston County, New York","61,834","61,699","61,578"
".Madison County, New York","68,016","67,890","67,658"
".Monroe County, New York","759,443","758,554","755,160"
".Montgomery County, New York","49,532","49,433","49,558"
".Nassau County, New York","1,395,774","1,393,978","1,390,907"
".New York County, New York","1,694,251","1,687,834","1,576,876"
".Niagara County, New York","212,666","212,252","211,653"
".Oneida County, New York","232,125","231,695","230,274"
".Onondaga County, New York","476,516","475,653","473,236"
".Ontario County, New York","112,458","112,475","112,508"
".Orange County, New York","401,310","401,322","404,525"
".Orleans County, New York","40,343","40,236","40,191"
".Oswego County, New York","117,525","117,351","117,387"
".Otsego County, New York","58,524","58,351","58,123"
".Putnam County, New York","97,668","97,660","97,936"
".Queens County, New York","2,405,464","2,395,791","2,331,143"
".Rensselaer County, New York","161,130","160,923","160,232"
".Richmond County, New York","495,747","495,522","493,494"
".Rockland County, New York","338,329","338,121","339,227"
".St. Lawrence County, New York","108,505","108,311","108,051"
".Saratoga County, New York","235,509","235,689","237,359"
".Schenectady County, New York","158,061","157,861","158,089"
".Schoharie County, New York","29,714","29,720","29,863"
".Schuyler County, New York","17,898","17,857","17,752"
".Seneca County, New York","33,814","33,715","33,688"
".Steuben County, New York","93,584","93,363","92,948"
".Suffolk County, New York","1,525,920","1,524,099","1,526,344"
".Sullivan County, New York","78,624","78,643","79,806"
".Tioga County, New York","48,455","48,355","47,980"
".Tompkins County, New York","105,740","105,404","105,162"
".Ulster County, New York","181,851","181,687","182,951"
".Warren County, New York","65,737","65,638","65,618"
".Washington County, New York","61,302","61,143","60,956"
".Wayne County, New York","91,283","91,103","90,923"
".Westchester County, New York","1,004,457","1,003,245","997,895"
".Wyoming County, New York","40,531","40,401","40,491"
".Yates County, New York","24,774","24,709","24,613"
".Alamance County, North Carolina","171,415","171,842","173,877"
".Alexander County, North Carolina","36,444","36,430","36,644"
".Alleghany County, North Carolina","10,888","10,899","11,049"
".Anson County, North Carolina","22,055","22,030","22,060"
".Ashe County, North Carolina","26,577","26,569","26,711"
".Avery County, North Carolina","17,806","17,798","17,864"
".Beaufort County, North Carolina","44,652","44,618","44,468"
".Bertie County, North Carolina","17,934","17,851","17,505"
".Bladen County, North Carolina","29,606","29,599","29,525"
".Brunswick County, North Carolina","136,693","138,084","144,215"
".Buncombe County, North Carolina","269,452","269,621","271,534"
".Burke County, North Carolina","87,570","87,546","87,611"
".Cabarrus County, North Carolina","225,804","227,065","231,278"
".Caldwell County, North Carolina","80,652","80,512","80,463"
".Camden County, North Carolina","10,355","10,398","10,835"
".Carteret County, North Carolina","67,686","67,656","68,541"
".Caswell County, North Carolina","22,736","22,694","22,714"
".Catawba County, North Carolina","160,610","160,747","161,723"
".Chatham County, North Carolina","76,285","76,611","77,889"
".Cherokee County, North Carolina","28,774","28,833","29,167"
".Chowan County, North Carolina","13,708","13,666","13,722"
".Clay County, North Carolina","11,089","11,118","11,309"
".Cleveland County, North Carolina","99,519","99,725","100,359"
".Columbus County, North Carolina","50,623","50,505","50,092"
".Craven County, North Carolina","100,720","100,552","100,674"
".Cumberland County, North Carolina","334,728","334,370","335,508"
".Currituck County, North Carolina","28,100","28,385","29,653"
".Dare County, North Carolina","36,915","37,001","37,826"
".Davidson County, North Carolina","168,930","169,131","170,637"
".Davie County, North Carolina","42,712","42,806","43,533"
".Duplin County, North Carolina","48,715","48,675","48,515"
".Durham County, North Carolina","324,833","325,602","326,126"
".Edgecombe County, North Carolina","48,900","48,697","48,359"
".Forsyth County, North Carolina","382,590","382,733","385,523"
".Franklin County, North Carolina","68,573","69,060","71,703"
".Gaston County, North Carolina","227,943","228,269","230,856"
".Gates County, North Carolina","10,478","10,452","10,366"
".Graham County, North Carolina","8,030","8,016","8,043"
".Granville County, North Carolina","60,992","61,041","61,986"
".Greene County, North Carolina","20,451","20,444","20,417"
".Guilford County, North Carolina","541,299","541,347","542,410"
".Halifax County, North Carolina","48,622","48,495","48,272"
".Harnett County, North Carolina","133,568","133,761","135,966"
".Haywood County, North Carolina","62,089","62,131","62,476"
".Henderson County, North Carolina","116,281","116,493","116,829"
".Hertford County, North Carolina","21,552","21,451","21,278"
".Hoke County, North Carolina","52,082","52,223","53,114"
".Hyde County, North Carolina","4,589","4,549","4,508"
".Iredell County, North Carolina","186,693","187,630","191,968"
".Jackson County, North Carolina","43,109","43,134","43,410"
".Johnston County, North Carolina","215,999","217,612","226,504"
".Jones County, North Carolina","9,172","9,156","9,255"
".Lee County, North Carolina","63,285","63,387","64,138"
".Lenoir County, North Carolina","55,122","54,995","54,706"
".Lincoln County, North Carolina","86,810","87,190","89,670"
".McDowell County, North Carolina","44,578","44,536","44,717"
".Macon County, North Carolina","37,014","37,049","37,564"
".Madison County, North Carolina","21,193","21,209","21,502"
".Martin County, North Carolina","22,031","21,949","21,754"
".Mecklenburg County, North Carolina","1,115,482","1,118,340","1,122,276"
".Mitchell County, North Carolina","14,903","14,881","14,963"
".Montgomery County, North Carolina","25,751","25,720","25,798"
".Moore County, North Carolina","99,727","100,168","102,763"
".Nash County, North Carolina","94,970","95,027","95,176"
".New Hanover County, North Carolina","225,702","226,060","229,018"
".Northampton County, North Carolina","17,471","17,438","17,129"
".Onslow County, North Carolina","204,576","204,735","206,160"
".Orange County, North Carolina","148,696","148,792","148,884"
".Pamlico County, North Carolina","12,276","12,280","12,344"
".Pasquotank County, North Carolina","40,568","40,645","40,821"
".Pender County, North Carolina","60,203","60,563","62,815"
".Perquimans County, North Carolina","13,005","12,997","13,130"
".Person County, North Carolina","39,097","39,146","39,127"
".Pitt County, North Carolina","170,243","170,570","172,169"
".Polk County, North Carolina","19,328","19,372","19,656"
".Randolph County, North Carolina","144,171","144,334","145,172"
".Richmond County, North Carolina","42,946","42,879","42,724"
".Robeson County, North Carolina","116,530","116,361","116,328"
".Rockingham County, North Carolina","91,096","91,080","91,266"
".Rowan County, North Carolina","146,875","147,027","148,150"
".Rutherford County, North Carolina","64,444","64,421","64,586"
".Sampson County, North Carolina","59,036","59,021","58,990"
".Scotland County, North Carolina","34,174","34,110","34,227"
".Stanly County, North Carolina","62,504","62,609","63,425"
".Stokes County, North Carolina","44,520","44,517","44,553"
".Surry County, North Carolina","71,359","71,253","71,152"
".Swain County, North Carolina","14,117","14,083","14,136"
".Transylvania County, North Carolina","32,986","33,009","33,165"
".Tyrrell County, North Carolina","3,245","3,232","3,254"
".Union County, North Carolina","238,267","239,287","243,648"
".Vance County, North Carolina","42,578","42,529","42,185"
".Wake County, North Carolina","1,129,410","1,133,553","1,150,204"
".Warren County, North Carolina","18,642","18,598","18,762"
".Washington County, North Carolina","11,003","10,955","10,892"
".Watauga County, North Carolina","54,086","54,072","54,234"
".Wayne County, North Carolina","117,333","117,226","116,835"
".Wilkes County, North Carolina","65,969","65,871","65,806"
".Wilson County, North Carolina","78,784","78,811","78,369"
".Yadkin County, North Carolina","37,214","37,182","37,192"
".Yancey County, North Carolina","18,470","18,475","18,757"
".Adams County, North Dakota","2,200","2,188","2,167"
".Barnes County, North Dakota","10,853","10,836","10,806"
".Benson County, North Dakota","5,964","5,953","5,809"
".Billings County, North Dakota",945,931,955
".Bottineau County, North Dakota","6,379","6,377","6,390"
".Bowman County, North Dakota","2,993","2,981","2,903"
".Burke County, North Dakota","2,201","2,189","2,158"
".Burleigh County, North Dakota","98,458","98,467","98,933"
".Cass County, North Dakota","184,525","184,868","186,562"
".Cavalier County, North Dakota","3,704","3,693","3,662"
".Dickey County, North Dakota","4,999","4,959","4,897"
".Divide County, North Dakota","2,195","2,198","2,188"
".Dunn County, North Dakota","4,095","4,103","4,035"
".Eddy County, North Dakota","2,347","2,333","2,337"
".Emmons County, North Dakota","3,301","3,282","3,271"
".Foster County, North Dakota","3,397","3,389","3,364"
".Golden Valley County, North Dakota","1,736","1,730","1,770"
".Grand Forks County, North Dakota","73,170","73,062","72,705"
".Grant County, North Dakota","2,301","2,281","2,323"
".Griggs County, North Dakota","2,306","2,296","2,281"
".Hettinger County, North Dakota","2,489","2,474","2,430"
".Kidder County, North Dakota","2,394","2,384","2,369"
".LaMoure County, North Dakota","4,093","4,083","4,066"
".Logan County, North Dakota","1,876","1,885","1,883"
".McHenry County, North Dakota","5,345","5,322","5,249"
".McIntosh County, North Dakota","2,530","2,512","2,513"
".McKenzie County, North Dakota","14,704","14,744","13,819"
".McLean County, North Dakota","9,771","9,749","9,796"
".Mercer County, North Dakota","8,350","8,330","8,323"
".Morton County, North Dakota","33,291","33,333","33,611"
".Mountrail County, North Dakota","9,809","9,765","9,576"
".Nelson County, North Dakota","3,015","2,989","3,054"
".Oliver County, North Dakota","1,877","1,866","1,873"
".Pembina County, North Dakota","6,844","6,827","6,767"
".Pierce County, North Dakota","3,990","3,968","3,953"
".Ramsey County, North Dakota","11,605","11,555","11,572"
".Ransom County, North Dakota","5,703","5,703","5,675"
".Renville County, North Dakota","2,282","2,272","2,266"
".Richland County, North Dakota","16,529","16,524","16,560"
".Rolette County, North Dakota","12,187","12,162","12,048"
".Sargent County, North Dakota","3,862","3,842","3,829"
".Sheridan County, North Dakota","1,265","1,258","1,268"
".Sioux County, North Dakota","3,898","3,884","3,738"
".Slope County, North Dakota",706,701,690
".Stark County, North Dakota","33,646","33,805","33,046"
".Steele County, North Dakota","1,798","1,797","1,810"
".Stutsman County, North Dakota","21,593","21,529","21,576"
".Towner County, North Dakota","2,162","2,138","2,140"
".Traill County, North Dakota","7,997","7,974","8,003"
".Walsh County, North Dakota","10,563","10,520","10,469"
".Ward County, North Dakota","69,919","69,847","69,071"
".Wells County, North Dakota","3,982","3,955","3,905"
".Williams County, North Dakota","40,950","41,149","38,484"
".Adams County, Ohio","27,477","27,434","27,542"
".Allen County, Ohio","102,206","102,059","101,670"
".Ashland County, Ohio","52,447","52,420","52,316"
".Ashtabula County, Ohio","97,574","97,413","97,337"
".Athens County, Ohio","62,431","62,350","62,056"
".Auglaize County, Ohio","46,422","46,411","46,141"
".Belmont County, Ohio","66,497","66,235","65,849"
".Brown County, Ohio","43,676","43,629","43,662"
".Butler County, Ohio","390,357","390,600","390,234"
".Carroll County, Ohio","26,721","26,689","26,691"
".Champaign County, Ohio","38,714","38,705","38,699"
".Clark County, Ohio","136,001","135,719","135,633"
".Clermont County, Ohio","208,601","208,635","209,642"
".Clinton County, Ohio","42,018","41,962","42,004"
".Columbiana County, Ohio","101,877","101,607","101,310"
".Coshocton County, Ohio","36,612","36,548","36,618"
".Crawford County, Ohio","42,025","41,928","41,754"
".Cuyahoga County, Ohio","1,264,817","1,261,696","1,249,387"
".Darke County, Ohio","51,881","51,882","51,597"
".Defiance County, Ohio","38,286","38,227","38,144"
".Delaware County, Ohio","214,124","215,062","220,740"
".Erie County, Ohio","75,622","75,429","74,852"
".Fairfield County, Ohio","158,921","159,357","161,064"
".Fayette County, Ohio","28,951","28,939","28,906"
".Franklin County, Ohio","1,323,807","1,324,013","1,321,414"
".Fulton County, Ohio","42,713","42,619","42,450"
".Gallia County, Ohio","29,220","29,193","29,158"
".Geauga County, Ohio","95,397","95,334","95,565"
".Greene County, Ohio","167,966","168,025","168,412"
".Guernsey County, Ohio","38,438","38,390","38,287"
".Hamilton County, Ohio","830,639","829,909","826,139"
".Hancock County, Ohio","74,920","74,830","74,656"
".Hardin County, Ohio","30,696","30,725","30,621"
".Harrison County, Ohio","14,483","14,493","14,477"
".Henry County, Ohio","27,662","27,629","27,538"
".Highland County, Ohio","43,317","43,321","43,354"
".Hocking County, Ohio","28,050","27,999","28,097"
".Holmes County, Ohio","44,223","44,194","44,271"
".Huron County, Ohio","58,565","58,439","58,367"
".Jackson County, Ohio","32,653","32,642","32,511"
".Jefferson County, Ohio","65,249","65,107","64,789"
".Knox County, Ohio","62,721","62,765","62,897"
".Lake County, Ohio","232,603","232,410","232,023"
".Lawrence County, Ohio","58,240","58,132","57,445"
".Licking County, Ohio","178,519","178,680","180,401"
".Logan County, Ohio","46,150","46,065","46,035"
".Lorain County, Ohio","312,964","313,367","315,595"
".Lucas County, Ohio","431,279","430,728","429,191"
".Madison County, Ohio","43,824","43,823","44,386"
".Mahoning County, Ohio","228,614","227,948","226,762"
".Marion County, Ohio","65,359","65,363","65,291"
".Medina County, Ohio","182,470","182,550","183,092"
".Meigs County, Ohio","22,210","22,118","22,049"
".Mercer County, Ohio","42,528","42,471","42,309"
".Miami County, Ohio","108,774","108,821","109,264"
".Monroe County, Ohio","13,385","13,354","13,329"
".Montgomery County, Ohio","537,309","536,629","535,840"
".Morgan County, Ohio","13,802","13,741","13,682"
".Morrow County, Ohio","34,950","34,964","35,151"
".Muskingum County, Ohio","86,410","86,342","86,408"
".Noble County, Ohio","14,115","14,090","14,176"
".Ottawa County, Ohio","40,364","40,260","40,104"
".Paulding County, Ohio","18,806","18,804","18,871"
".Perry County, Ohio","35,408","35,439","35,460"
".Pickaway County, Ohio","58,539","58,628","59,333"
".Pike County, Ohio","27,088","27,050","27,089"
".Portage County, Ohio","161,791","161,775","162,382"
".Preble County, Ohio","40,999","40,964","40,867"
".Putnam County, Ohio","34,451","34,380","34,318"
".Richland County, Ohio","124,936","124,840","125,195"
".Ross County, Ohio","77,093","76,985","76,891"
".Sandusky County, Ohio","58,896","58,832","58,715"
".Scioto County, Ohio","74,008","73,720","73,346"
".Seneca County, Ohio","55,069","54,990","54,906"
".Shelby County, Ohio","48,230","48,119","47,977"
".Stark County, Ohio","374,853","374,357","373,834"
".Summit County, Ohio","540,428","539,530","537,633"
".Trumbull County, Ohio","201,977","201,405","201,335"
".Tuscarawas County, Ohio","93,263","93,063","92,500"
".Union County, Ohio","62,784","63,077","64,971"
".Van Wert County, Ohio","28,931","28,878","28,732"
".Vinton County, Ohio","12,800","12,784","12,696"
".Warren County, Ohio","242,337","243,004","246,553"
".Washington County, Ohio","59,771","59,613","59,423"
".Wayne County, Ohio","116,894","116,840","116,710"
".Williams County, Ohio","37,102","37,025","36,716"
".Wood County, Ohio","132,248","132,212","132,472"
".Wyandot County, Ohio","21,900","21,854","21,708"
".Adair County, Oklahoma","19,495","19,415","19,414"
".Alfalfa County, Oklahoma","5,699","5,713","5,710"
".Atoka County, Oklahoma","14,143","14,174","14,324"
".Beaver County, Oklahoma","5,049","5,012","4,980"
".Beckham County, Oklahoma","22,410","22,302","22,046"
".Blaine County, Oklahoma","8,735","8,711","8,562"
".Bryan County, Oklahoma","46,067","46,293","47,105"
".Caddo County, Oklahoma","26,945","26,858","26,368"
".Canadian County, Oklahoma","154,405","155,507","161,737"
".Carter County, Oklahoma","48,003","48,003","48,291"
".Cherokee County, Oklahoma","47,078","47,081","47,627"
".Choctaw County, Oklahoma","14,204","14,196","14,307"
".Cimarron County, Oklahoma","2,296","2,290","2,248"
".Cleveland County, Oklahoma","295,528","296,019","297,597"
".Coal County, Oklahoma","5,266","5,279","5,276"
".Comanche County, Oklahoma","121,125","121,129","122,063"
".Cotton County, Oklahoma","5,527","5,543","5,480"
".Craig County, Oklahoma","14,107","14,146","14,115"
".Creek County, Oklahoma","71,754","71,776","72,029"
".Custer County, Oklahoma","28,513","28,423","28,163"
".Delaware County, Oklahoma","40,397","40,400","41,000"
".Dewey County, Oklahoma","4,484","4,466","4,417"
".Ellis County, Oklahoma","3,749","3,745","3,762"
".Garfield County, Oklahoma","62,846","62,629","61,926"
".Garvin County, Oklahoma","25,656","25,627","25,804"
