table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,
"Annual Estimates of the Resident Population for Counties in the United States:
 April 1, 2020 to July 1, 2021",,,
Geographic Area,"April 1, 2020 Estimates Base",Population Estimate (as of July 1),
".Lake County, Florida","383,956","385,875","395,804"
".Lee County, Florida","760,822","764,679","787,976"
".Leon County, Florida","292,198","292,378","292,817"
".Levy County, Florida","42,915","43,051","44,158"
".Liberty County, Florida","7,974","7,974","7,900"
".Madison County, Florida","17,968","17,976","18,288"
".Manatee County, Florida","399,710","401,443","412,703"
".Marion County, Florida","375,908","377,370","385,915"
".Martin County, Florida","158,431","158,529","159,942"
".Miami-Dade County, Florida","2,701,767","2,692,459","2,662,777"
".Monroe County, Florida","82,874","82,809","82,170"
".Nassau County, Florida","90,352","90,993","94,189"
".Okaloosa County, Florida","211,668","211,809","213,255"
".Okeechobee County, Florida","39,644","39,641","40,266"
".Orange County, Florida","1,429,908","1,429,899","1,422,746"
".Osceola County, Florida","388,656","390,855","403,282"
".Palm Beach County, Florida","1,492,191","1,492,466","1,497,987"
".Pasco County, Florida","561,891","565,745","584,067"
".Pinellas County, Florida","959,107","958,752","956,615"
".Polk County, Florida","725,046","729,233","753,520"
".Putnam County, Florida","73,321","73,347","74,167"
".St. Johns County, Florida","273,425","276,916","292,466"
".St. Lucie County, Florida","329,226","331,275","343,579"
".Santa Rosa County, Florida","188,000","189,133","193,998"
".Sarasota County, Florida","434,006","435,664","447,057"
".Seminole County, Florida","470,856","471,058","470,093"
".Sumter County, Florida","129,752","130,897","135,638"
".Suwannee County, Florida","43,474","43,510","44,485"
".Taylor County, Florida","21,796","21,760","21,815"
".Union County, Florida","16,147","16,126","16,335"
".Volusia County, Florida","553,543","554,901","564,412"
".Wakulla County, Florida","33,764","33,907","34,690"
".Walton County, Florida","75,305","75,855","80,069"
".Washington County, Florida","25,318","25,357","25,436"
".Appling County, Georgia","18,444","18,428","18,488"
".Atkinson County, Georgia","8,286","8,301","8,391"
".Bacon County, Georgia","11,140","11,123","11,079"
".Baker County, Georgia","2,876","2,844","2,819"
".Baldwin County, Georgia","43,799","43,773","43,781"
".Banks County, Georgia","18,035","18,069","18,562"
".Barrow County, Georgia","83,505","83,963","86,658"
".Bartow County, Georgia","108,901","109,311","110,843"
".Ben Hill County, Georgia","17,194","17,153","17,158"
".Berrien County, Georgia","18,160","18,159","18,147"
".Bibb County, Georgia","157,346","157,104","156,762"
".Bleckley County, Georgia","12,583","12,577","12,607"
".Brantley County, Georgia","18,021","18,040","18,101"
".Brooks County, Georgia","16,301","16,232","16,270"
".Bryan County, Georgia","44,738","44,999","46,938"
".Bulloch County, Georgia","81,099","81,378","82,442"
".Burke County, Georgia","24,596","24,621","24,310"
".Butts County, Georgia","25,434","25,542","25,781"
".Calhoun County, Georgia","5,573","5,560","5,509"
".Camden County, Georgia","54,768","54,911","55,664"
